time	V(vout)	V(n001)	V(n012)	V(n013)
4.618000429490080e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.048843e+000
4.642001002143520e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.050021e+000
4.690002147450400e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.052337e+000
4.700000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.052812e+000
4.709600229061376e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.053259e+000
4.728800687184128e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.054145e+000
4.767201603429633e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.055887e+000
4.800000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.057353e+000
4.807680183249101e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.057688e+000
4.823040549747303e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.058353e+000
4.853761282743706e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.059662e+000
4.900000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.061604e+000
4.906144146599281e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.061856e+000
4.918432439797842e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.062357e+000
4.943009026194965e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.063344e+000
4.992162198989210e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.065292e+000
5.000000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.065598e+000
5.009830634558849e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.065977e+000
5.029491903676547e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.066726e+000
5.068814441911943e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.068204e+000
5.100000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.069361e+000
5.107864507647079e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.069647e+000
5.123593522941237e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.070215e+000
5.155051553529554e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.071335e+000
5.200000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.072916e+000
5.206291606117664e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.073133e+000
5.218874818352991e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.073564e+000
5.244041242823645e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.074416e+000
5.294374091764952e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.076098e+000
5.300000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.076284e+000
5.310000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.076610e+000
5.330000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.077256e+000
5.370000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.078534e+000
5.400000000000001e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.079481e+000
5.408000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.079729e+000
5.424000000000000e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.080222e+000
5.456000000000001e-005	-3.995959e+000	-1.000000e-001	-1.000000e-001	-1.081197e+000
