time	V(vout)	V(n001)	V(n012)	V(n013)
3.784880995566992e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684441e+000
3.790000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684409e+000
3.793904796453593e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684384e+000
3.820571215938354e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684214e+000
3.850584925120875e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.684025e+000
3.870000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.683904e+000
4.000000000000000e-004	3.995959e+000	1.000000e-001	1.000000e-001	3.683125e+000
4.000271999999997e-004	3.995959e+000	9.945600e-002	9.972800e-002	3.683112e+000
4.000815999999992e-004	3.995959e+000	9.836800e-002	9.918400e-002	3.683014e+000
4.001903999999981e-004	3.995959e+000	9.619200e-002	9.809600e-002	3.682498e+000
4.002879378782533e-004	3.995959e+000	9.424124e-002	9.712062e-002	3.681531e+000
4.004109495617343e-004	3.995959e+000	9.178101e-002	9.589051e-002	3.679269e+000
4.006273151591755e-004	3.995959e+000	8.745369e-002	9.372685e-002	3.672616e+000
4.009528789343020e-004	3.995959e+000	8.094242e-002	9.047121e-002	3.658874e+000
4.010000000000000e-004	3.995959e+000	8.000000e-002	9.000000e-002	3.656444e+000
4.010336618229678e-004	3.995959e+000	7.932676e-002	8.966338e-002	3.654395e+000
4.011009854689032e-004	3.995959e+000	7.798029e-002	8.899014e-002	3.650090e+000
4.015049273445158e-004	3.995959e+000	6.990145e-002	8.495073e-002	3.617614e+000
4.020538589167484e-004	3.995959e+000	5.892282e-002	7.946141e-002	3.563024e+000
4.023770124172385e-004	3.995959e+000	5.245975e-002	7.622988e-002	3.521611e+000
4.030861742667974e-004	3.995959e+000	3.827652e-002	6.913826e-002	3.417035e+000
4.040000000000000e-004	3.995959e+000	2.000000e-002	6.000000e-002	3.251447e+000
4.044285714285714e-004	3.995959e+000	1.142857e-002	5.571429e-002	3.162377e+000
4.048571428571429e-004	3.995959e+000	2.857143e-003	5.142857e-002	3.068741e+000
4.052857142857143e-004	3.995959e+000	-5.714286e-003	4.714286e-002	2.970540e+000
4.057142857142857e-004	3.995959e+000	-1.428571e-002	4.285714e-002	2.867773e+000
4.061428571428571e-004	3.995959e+000	-2.285714e-002	3.857143e-002	2.760441e+000
4.065714285714286e-004	3.995959e+000	-3.142857e-002	3.428571e-002	2.648544e+000
4.070000000000000e-004	3.995959e+000	-4.000000e-002	3.000000e-002	2.532082e+000
4.070705939593604e-004	3.995959e+000	-4.141188e-002	2.929406e-002	2.512619e+000
4.072117818780812e-004	3.995959e+000	-4.423564e-002	2.788218e-002	2.473442e+000
4.074941577155228e-004	3.995959e+000	-4.988315e-002	2.505842e-002	2.394097e+000
4.078855791091616e-004	3.995959e+000	-5.771158e-002	2.114421e-002	2.282680e+000
4.080000000000001e-004	3.995959e+000	-6.000000e-002	2.000000e-002	2.249765e+000
4.080782842787278e-004	3.995959e+000	-6.156569e-002	1.921716e-002	2.226947e+000
4.082348528361833e-004	3.995959e+000	-6.469706e-002	1.765147e-002	2.181046e+000
4.090000000000000e-004	3.995959e+000	-8.000000e-002	1.000000e-002	1.952701e+000
4.090626274229822e-004	3.995959e+000	-8.125255e-002	9.373725e-003	1.933602e+000
4.094383919608755e-004	3.995959e+000	-8.876784e-002	5.616080e-003	1.818177e+000
4.096201579266758e-004	3.995959e+000	-9.240316e-002	3.798421e-003	1.761744e+000
4.097576453789329e-004	3.995959e+000	-9.515291e-002	2.423546e-003	1.718766e+000
4.100000000000000e-004	3.995959e+000	-1.000000e-001	0.000000e+000	1.642668e+000
4.100242354621067e-004	3.995959e+000	-1.000000e-001	-2.423546e-004	1.635015e+000
4.100727063863201e-004	3.995959e+000	-1.000000e-001	-7.270639e-004	1.619724e+000
4.101696482347469e-004	3.995959e+000	-1.000000e-001	-1.696482e-003	1.589236e+000
4.102591343081990e-004	3.995959e+000	-1.000000e-001	-2.591343e-003	1.561283e+000
4.103758071344883e-004	3.995959e+000	-1.000000e-001	-3.758071e-003	1.525277e+000
4.105706165722548e-004	3.995959e+000	-1.000000e-001	-5.706166e-003	1.466306e+000
4.108786499355397e-004	3.995959e+000	-1.000000e-001	-8.786500e-003	1.375476e+000
4.112047738571785e-004	3.995959e+000	-1.000000e-001	-1.204774e-002	1.283114e+000
4.118570217004562e-004	3.995959e+000	-1.000000e-001	-1.857022e-002	1.108472e+000
4.126935116544727e-004	3.995959e+000	-1.000000e-001	-2.693512e-002	9.023378e-001
4.142714705967716e-004	3.996195e+000	-1.000000e-001	-4.271471e-002	5.550194e-001
4.162161255545300e-004	3.993799e+000	-1.000000e-001	-6.216126e-002	1.698742e-001
4.168578363383393e-004	3.926464e+000	-1.000000e-001	-6.857836e-002	5.350088e-002
4.172827294572375e-004	3.679987e+000	-1.000000e-001	-7.282729e-002	-1.925587e-002
4.175822547063688e-004	3.234897e+000	-1.000000e-001	-7.582255e-002	-6.933121e-002
4.178795845106760e-004	2.553655e+000	-1.000000e-001	-7.879584e-002	-1.182053e-001
4.181103828555973e-004	1.942316e+000	-1.000000e-001	-8.110383e-002	-1.556018e-001
4.187198891174075e-004	2.687942e-001	-1.000000e-001	-8.719889e-002	-2.521660e-001
4.200000000000000e-004	-3.252166e+000	-1.000000e-001	-1.000000e-001	-4.476565e-001
